,solver,jit_time,ave_run_time,ave_distance,jit_grad_time,jit_vmap_time,ave_grad_run_time,construction_time,step_count,tol,cpus,gpus,cheb_order,exp_order,vmap,num_inputs,test
111,dyson,4.786686182022095,1.8386545634269715,6.690183700152022e-05,14.03412389755249,5.426149845123291,4.218432817459107,5.961326837539673,20000.0,0.0,1,0,1,3,1,1,0
112,dyson,5.840986251831055,1.0797239470481872,2.185913153822295e-06,124.21531581878662,62.87712049484253,2.2072607040405274,8.658422946929932,10000.0,0.0,1,0,0,5,1,50,0
113,dyson,12.728023290634155,3.0293164801597596,3.881613093077131e-10,37.10078239440918,15.514355897903442,8.155256700515746,111.40740394592285,30000.0,0.0,64,0,2,5,1,1,0
114,magnus,13.973258256912231,5.804859704971314,6.891657084040606e-06,239.17418026924133,69.49594140052795,21.09067894697189,3.3618667125701904,10000.0,0.0,1,0,0,3,1,10,0
126,dyson,4.438732147216797,0.9520531058311462,0.0007082107907003691,12.825708150863647,5.1806721687316895,2.566465132236481,2.3344645500183105,40000.0,0.0,64,0,0,2,1,1,0
127,magnus,10.053545713424683,3.606577441692352,6.395685463042883e-06,29.509516716003418,9.672944784164429,13.496406774520874,10.720887422561646,10000.0,0.0,64,0,1,3,1,1,0
128,dyson,5.404865026473999,0.9542274904251099,0.0007082164254762982,15.255468368530273,6.135529041290283,2.6687497162818907,3.691356658935547,40000.0,0.0,64,0,1,2,1,1,0
129,dyson,9.099685907363892,3.7939437794685364,6.689985693956893e-05,21.070239305496216,9.30948543548584,8.149321084022523,21.220090627670288,20000.0,0.0,1,0,2,3,1,1,0
130,magnus,15.965898275375366,5.480516095161438,6.395681291045513e-06,52.075255155563354,16.081613302230835,19.589866189956666,9.493321657180786,10000.0,0.0,1,0,1,3,1,1,0
131,dyson,30.199296712875366,21.013915705680848,7.126540632345547e-08,71.05680871009827,34.240461111068726,40.0442035484314,363.7608997821808,10000.0,0.0,1,0,2,5,1,1,0
132,dyson,6.032357215881348,0.9795008063316345,0.0007082359854533969,16.991867303848267,7.095893144607544,2.720443868637085,7.7324113845825195,40000.0,0.0,64,0,2,2,1,1,0
133,dyson,3.2958436012268066,1.277633285522461,6.042127795021674e-07,10.75762939453125,3.876906394958496,2.9020631599426268,2.3469347953796387,20000.0,0.0,1,0,0,4,1,1,0
134,dyson,2.708240270614624,0.9605221605300903,0.002809944157641297,7.789459466934204,3.147731065750122,2.2836357069015505,2.432797431945801,20000.0,0.0,1,0,0,2,1,1,0
135,dyson,4.681721210479736,0.9575911211967468,8.537147924593149e-06,14.274602174758911,5.5692033767700195,2.6382750844955445,2.260507822036743,40000.0,0.0,64,0,0,3,1,1,0
136,dyson,3.235266923904419,1.0809415006637573,0.0028099665054983156,9.311194896697998,3.72575306892395,2.482922992706299,3.9615724086761475,20000.0,0.0,1,0,1,2,1,1,0
137,dyson,6.426769018173218,1.0087089800834657,8.533946437569447e-06,18.01374316215515,7.220491647720337,2.857745032310486,4.5732409954071045,40000.0,0.0,64,0,1,3,1,1,0
