,solver,jit_time,ave_run_time,ave_distance,jit_grad_time,jit_vmap_time,ave_grad_run_time,construction_time,step_count,tol,cpus,gpus,cheb_order,exp_order,vmap,num_inputs,test
164,magnus,1.6065196990966797,0.06378760814666748,2.401841660249226e-07,3.3356711864471436,1.6381103992462158,0.24812116622924804,3.4502718448638916,30000.0,0.0,0,1,0,5,1,1,0
165,magnus,2.1614956855773926,0.07733814477920532,4.056914332670494e-08,4.206439018249512,2.269134044647217,0.27529720067977903,16.669386625289917,30000.0,0.0,0,1,1,5,1,1,0
166,dense,42.48649024963379,0.39068958044052127,1.4862926563465549e-09,238.686931848526,41.26060485839844,2.319399058818817,0.0,0.0,1e-11,0,1,10,0,1,100,0
167,dyson,1.044234275817871,0.00462991714477539,0.010874247707822417,1.779923439025879,0.988713264465332,0.006978721618652344,3.96855092048645,10000.0,0.0,0,1,0,2,1,1,0
168,dyson,1.1117565631866455,0.003062310218811035,0.010874332526553766,2.064053773880005,1.1795315742492676,0.005891780853271484,3.5513498783111572,10000.0,0.0,0,1,1,2,1,1,0
169,dyson,1.3009669780731201,0.003281557559967041,0.010874639171778989,2.2235963344573975,1.4816038608551025,0.005957267284393311,5.219171762466431,10000.0,0.0,0,1,2,2,1,1,0
170,dyson,1.139582633972168,0.0030440354347229005,0.0004938564020918732,2.049163579940796,1.030151128768921,0.005845651626586914,2.2580294609069824,10000.0,0.0,0,1,0,3,1,1,0
171,dyson,1.2040941715240479,0.003627791404724121,0.0004938275232646442,2.2605535984039307,1.5011341571807861,0.006717631816864014,3.677187442779541,10000.0,0.0,0,1,1,3,1,1,0
172,dyson,1.4675557613372803,0.004772555828094482,0.0004938125467634659,2.6749513149261475,1.755767583847046,0.009228088855743409,5.603128671646118,10000.0,0.0,0,1,2,3,1,1,0
173,dyson,1.149336814880371,0.003086848258972168,3.5597124095593983e-06,1.9227864742279053,1.0879638195037842,0.0059331154823303225,2.4624998569488525,10000.0,0.0,0,1,0,4,1,1,0
174,dyson,1.3855862617492676,0.0049305415153503415,2.351287833969713e-06,2.978795051574707,1.4037563800811768,0.00937718152999878,3.952005386352539,10000.0,0.0,0,1,1,4,1,1,0
175,magnus,3.2652628421783447,0.13981711864471436,1.3833592588045438e-10,6.004194736480713,3.476717472076416,0.3953776550292969,313.14679193496704,30000.0,0.0,0,1,2,5,1,1,0
176,dyson,2.170438051223755,0.01061309814453125,2.056229976962757e-06,3.4824719429016113,1.87241792678833,0.020676519870758057,9.460282802581787,10000.0,0.0,0,1,2,4,1,1,0
177,dyson,1.582700252532959,0.003413081169128418,2.1859150465502075e-06,2.1476922035217285,1.1406962871551514,0.006439154148101807,2.287412166595459,10000.0,0.0,0,1,0,5,1,1,0
178,dyson,1.5966393947601318,0.008231711387634278,3.753111152536637e-07,3.04496431350708,1.6069233417510986,0.015652222633361815,6.07240629196167,10000.0,0.0,0,1,1,5,1,1,0
179,magnus,1.6756246089935303,0.08292858362197876,2.264611369927052e-07,3.101694345474243,1.6761500835418701,0.3266957139968872,1.8145978450775146,40000.0,0.0,0,1,0,2,1,1,0
180,magnus,1.9494359493255615,0.08383775949478149,1.7244943374764072e-07,5.636763095855713,2.0538883209228516,0.32787088394165037,2.5422489643096924,40000.0,0.0,0,1,1,2,1,1,0
181,dyson,2.486072063446045,0.029446780681610107,7.126498670480165e-08,4.483112573623657,2.6077494621276855,0.05554016590118408,54.32354259490967,10000.0,0.0,0,1,2,5,1,1,0
182,dyson,1.1126830577850342,0.004428775310516358,0.0028099441426948997,1.8131954669952393,1.1042897701263428,0.009093091487884522,2.3558168411254883,20000.0,0.0,0,1,0,2,1,1,0
